"Index_Sinistre","Annee","Age_assure","Ind_fumeur","Nbre_enfants","Exp_cond","km_annuel","Ind_util_travail","Ind_util_affaires","Score_credit","Age_police","Ind_occas","Ind_vehicule_sport","Valeur_vehicule","Age_vehicule","Ind_vehicule_loue","Nbre_infract","Temps_sn_sin","Nbre_sinistres","Montant_paye","Sexe_assureF","Sexe_assureH","Sexe_assureM","Emploi_assureASS","Emploi_assureAUT","Emploi_assureETU","Emploi_assureGOU","Emploi_assureMAN","Emploi_assureMED","Emploi_assurePRO","Emploi_assureRTR","Emploi_assureSNS","Statut_maritalA","Statut_maritalD","Statut_maritalF","Statut_maritalM","RegionES","RegionGA","RegionMA","RegionML","RegionOU","RegionQC","RegionSA","Couleur_vehiculeA","Couleur_vehiculeB","Couleur_vehiculeG","Couleur_vehiculeN","Couleur_vehiculeR"
76,2004,33,1,1,16,35300,1,0,637,10,0,0,19000,2,1,0,6,1,1876,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
77,2004,21,1,0,4,30500,1,0,854,3,0,0,36000,10,0,0,2,1,1899,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78,2004,37,1,1,21,33100,1,0,732,14,1,0,20000,4,0,0,1,1,2285,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
79,2004,40,1,1,17,19300,0,0,749,12,1,0,20000,12,0,0,6,1,674,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
80,2004,21,0,0,4,9800,0,0,660,2,0,0,13000,11,0,0,6,1,1494,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
81,2004,19,0,0,3,34800,1,0,981,1,0,0,35000,7,0,0,1,1,2131,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
82,2004,20,0,0,4,31100,1,0,727,2,0,0,27000,10,0,0,4,1,2310,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
83,2004,31,1,1,15,36800,1,0,524,11,0,0,22000,3,0,0,6,1,1793,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
84,2004,48,1,4,32,23800,0,0,843,11,1,0,37000,5,0,0,0,1,1084,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
85,2004,22,0,1,4,49100,0,0,740,2,1,0,28000,12,0,0,6,1,1682,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
86,2004,25,0,0,9,23800,0,0,770,5,0,0,20000,6,0,0,6,1,1388,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
87,2004,25,1,2,9,13600,1,0,758,3,1,0,12000,5,1,0,6,1,1742,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
88,2004,16,0,1,0,28200,1,0,753,0,0,0,20000,10,0,0,6,1,1792,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
89,2004,87,1,1,65,28000,0,0,766,61,1,0,44000,7,0,0,6,1,1417,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
90,2004,52,0,1,36,9300,1,1,792,23,1,1,55000,2,1,0,2,1,9270,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
91,2004,52,0,1,32,15900,0,0,616,22,1,1,52000,0,1,0,6,1,6215,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
92,2004,65,0,0,49,58700,0,0,693,44,0,0,29000,6,0,0,0,1,1574,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
93,2004,72,0,1,56,34600,0,0,712,44,0,0,31000,4,1,0,6,1,1319,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
94,2004,32,1,1,16,31800,0,0,575,11,1,0,17000,4,0,0,6,1,1398,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
95,2004,58,0,0,41,8200,0,0,597,28,1,0,28000,3,0,1,6,1,2405,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
96,2004,46,0,0,30,23900,1,1,620,19,1,0,39000,6,0,0,6,1,4221,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
97,2004,52,0,0,35,21500,0,1,683,33,0,0,36000,4,0,0,3,1,4422,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
98,2004,17,0,0,1,7300,1,0,710,0,0,0,39000,8,0,0,6,1,3841,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
99,2004,50,1,1,34,41200,0,0,680,25,1,0,22000,2,1,0,6,1,2036,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
100,2004,43,1,0,27,31000,0,0,724,14,1,0,25000,8,0,0,6,1,1200,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
101,2004,28,0,2,12,26700,1,1,747,5,0,0,17000,8,0,0,6,1,2454,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
102,2004,36,0,1,15,21800,1,0,441,11,0,0,13000,2,0,0,6,1,1526,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
103,2004,31,1,2,15,16700,0,0,645,9,0,0,18000,1,0,0,6,1,1413,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
104,2004,23,0,0,7,30500,0,0,622,5,0,0,14000,12,0,0,6,1,1169,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
105,2004,80,0,2,64,11300,0,0,541,51,0,0,32000,3,0,0,6,1,1600,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
106,2004,47,1,3,31,24900,1,0,694,21,1,0,15000,12,0,0,3,1,991,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
107,2004,92,1,1,76,11000,0,0,574,34,0,0,24000,0,1,0,6,1,1719,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
108,2004,50,0,1,34,47600,0,0,647,11,1,0,26000,4,0,0,6,1,1964,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
109,2004,16,0,0,0,7400,0,0,620,0,0,0,24000,10,0,0,2,1,1897,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
110,2004,66,1,0,50,11900,0,0,650,35,1,0,38000,2,1,0,6,1,2408,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
111,2004,49,0,0,33,27600,0,0,525,28,1,0,20000,11,0,0,4,1,1179,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
112,2004,58,0,1,40,12600,1,0,637,22,1,0,22000,0,1,0,1,1,2000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
113,2004,45,1,0,29,22600,1,1,260,26,0,1,39000,0,0,0,4,1,11126,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
114,2004,48,0,1,31,18800,1,0,591,18,0,1,46000,1,1,0,6,1,6304,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
115,2004,33,0,1,17,28700,0,0,778,12,1,0,42000,12,0,0,6,1,1920,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
116,2004,38,1,0,22,32100,0,1,538,16,1,0,22000,1,0,0,6,1,3344,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
117,2004,20,1,0,1,10900,1,0,647,0,0,0,45000,12,0,0,6,1,3396,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
118,2004,60,1,2,44,38900,1,0,542,22,0,0,34000,2,1,0,6,1,3770,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
119,2004,71,0,3,50,43100,0,0,733,40,1,0,21000,1,0,0,6,1,1110,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
120,2004,26,0,1,10,10400,1,1,538,6,1,1,50000,3,1,0,6,1,17493,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
121,2004,25,0,0,7,23400,1,0,741,4,1,0,41000,6,0,0,0,1,2659,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
122,2004,68,1,0,50,25500,0,0,822,42,1,0,19000,3,0,0,6,1,861,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
123,2004,28,1,1,12,18600,1,1,655,6,0,0,34000,1,0,0,0,1,3670,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
124,2004,40,1,1,24,38700,1,0,909,13,0,0,27000,1,0,0,4,1,1193,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
125,2004,42,0,1,26,29600,1,0,589,18,1,0,24000,10,0,0,0,1,1275,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
126,2004,55,0,1,39,31700,0,0,540,17,1,1,76000,1,1,0,6,1,7850,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
127,2004,29,0,1,13,37600,1,1,526,11,0,0,43000,3,0,0,6,1,6416,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
128,2004,61,0,1,45,6300,0,1,579,20,0,1,37000,2,1,0,6,1,8489,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
129,2004,26,0,1,10,12100,1,0,355,6,1,0,25000,0,1,1,6,1,4622,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
130,2004,21,0,0,3,28600,1,0,632,1,0,1,53000,0,0,1,0,1,9127,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
131,2004,45,0,0,29,50600,1,0,668,13,1,1,41000,-1,0,0,6,1,5326,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
