Index_Sinistre;Annee;Age_assure;Sexe_assure;Ind_fumeur;Emploi_assure;Statut_marital;Nbre_enfants;Exp_cond;km_annuel;Ind_util_travail;Ind_util_affaires;Score_credit;Region;Age_police;Ind_occas;Ind_vehicule_sport;Valeur_vehicule;Age_vehicule;Couleur_vehicule;Ind_vehicule_loue;Nbre_infract;Temps_sn_sin;Nbre_sinistres;Montant_paye
42;2004;41;F;Non;ASS;D;0;25;10200;Non;Oui;626;MA;23;Oui;Non;31000;2;R;Non;0;3;1;5698
43;2004;42;F;Non;GOU;D;2;26;39800;Non;Non;845;ML;19;Oui;Non;33000;0;B;Oui;0;6;1;1654
44;2004;30;H;Oui;MAN;M;2;14;23800;Non;Non;772;OU;7;Oui;Non;21000;3;N;Oui;1;6;1;1930
45;2004;29;F;Non;GOU;D;2;11;37300;Oui;Non;524;ML;8;Non;Non;10000;2;A;Oui;0;5;1;2213
46;2004;29;H;Oui;MED;M;1;12;8400;Oui;Non;700;SA;12;Oui;Oui;49000;0;R;Oui;0;3;0;0
47;2004;40;H;Non;MAN;M;1;24;56700;Oui;Non;682;ES;15;Non;Non;32000;2;G;Non;0;5;1;1975
48;2004;34;H;Oui;PRO;F;0;18;11400;Non;Oui;630;GA;9;Oui;Non;26000;5;G;Oui;0;6;1;3884
49;2004;21;F;Non;ETU;F;0;2;7800;Oui;Non;744;GA;0;Oui;Non;32000;11;N;Non;0;6;1;2959
50;2004;42;H;Oui;GOU;F;1;26;40800;Oui;Non;475;GA;20;Oui;Non;27000;12;N;Non;1;6;1;2437
51;2004;20;H;Non;ETU;A;0;3;27400;Oui;Non;574;GA;2;Non;Non;15000;12;G;Non;0;6;1;1766
52;2004;56;F;Non;ASS;F;1;40;36500;Oui;Oui;625;ML;24;Oui;Non;21000;5;G;Non;0;1;1;2467
53;2004;22;F;Non;ETU;A;0;4;32100;Oui;Non;677;ES;2;Non;Non;40000;6;R;Non;0;6;1;3824
54;2004;53;H;Non;MAN;M;1;28;50800;Oui;Non;689;GA;16;Non;Non;20000;1;N;Oui;0;0;1;1707
55;2004;22;F;Non;ETU;F;0;6;11600;Oui;Non;926;GA;4;Oui;Non;28000;12;B;Non;1;6;1;2337
56;2004;46;H;Non;ASS;A;1;30;54400;Oui;Oui;624;ES;21;Oui;Oui;42000;0;R;Oui;0;6;1;10816
57;2004;63;F;Oui;RTR;F;1;40;37500;Non;Non;692;GA;26;Oui;Non;37000;0;R;Non;0;6;1;2692
58;2004;29;F;Non;MAN;F;1;13;46000;Non;Non;584;GA;8;Oui;Non;15000;2;A;Oui;0;6;1;2758
59;2004;39;F;Oui;AUT;A;1;23;19300;Oui;Non;681;MA;17;Non;Non;10000;3;G;Oui;0;6;1;1625
60;2004;63;H;Non;RTR;F;1;43;23500;Non;Non;494;MA;40;Oui;Non;39000;2;A;Oui;0;6;1;4137
61;2004;24;H;Non;ETU;A;0;8;9600;Oui;Non;657;GA;5;Non;Non;26000;12;N;Non;0;6;1;1785
62;2004;36;F;Oui;AUT;F;2;17;22600;Oui;Non;655;ES;9;Oui;Non;37000;3;A;Non;0;6;1;4092
63;2004;41;H;Non;MED;F;2;25;38500;Oui;Non;931;ES;21;Non;Non;32000;3;R;Non;0;3;1;1381
64;2004;59;H;Oui;PRO;A;0;43;29000;Oui;Oui;673;GA;17;Non;Oui;59000;1;G;Oui;0;6;1;10101
65;2004;48;F;Non;GOU;M;1;32;44800;Oui;Non;658;ML;22;Oui;Non;16000;7;A;Non;0;6;1;983
66;2004;24;F;Non;ETU;A;1;7;32200;Non;Non;696;GA;4;Non;Non;31000;8;R;Non;0;6;1;3563
67;2004;25;F;Non;GOU;F;1;9;21300;Oui;Non;810;ML;7;Non;Non;16000;4;R;Non;0;6;1;1038
68;2004;28;F;Oui;MED;M;1;12;40800;Oui;Non;503;ML;7;Non;Non;19000;3;B;Non;0;2;1;1865
69;2004;40;H;Non;ASS;M;1;22;28400;Non;Oui;555;ML;19;Non;Non;30000;4;R;Non;0;6;1;2722
70;2004;70;H;Non;RTR;F;2;51;39300;Non;Non;507;ML;33;Oui;Non;19000;2;A;Non;0;0;1;1331
71;2004;24;F;Non;ETU;A;0;8;33200;Oui;Non;647;ES;5;Non;Non;18000;5;R;Non;0;6;1;1377
72;2004;42;H;Non;PRO;M;0;26;35100;Oui;Oui;596;GA;18;Non;Non;30000;3;A;Oui;0;6;1;5529
73;2004;27;F;Oui;MAN;D;0;11;19100;Oui;Non;629;GA;6;Oui;Oui;77000;0;A;Oui;1;6;1;10498
74;2004;44;H;Oui;MAN;F;4;25;30400;Oui;Non;678;SA;8;Oui;Non;17000;1;N;Oui;0;6;1;2232
75;2004;28;F;Non;GOU;F;0;12;6700;Oui;Non;567;ES;6;Oui;Non;33000;2;R;Oui;0;6;1;4451
76;2004;33;H;Oui;AUT;A;1;16;35300;Oui;Non;637;GA;10;Non;Non;19000;2;R;Oui;0;6;1;1876
77;2004;21;F;Oui;ETU;A;0;4;30500;Oui;Non;854;ML;3;Non;Non;36000;10;N;Non;0;2;1;1899
78;2004;37;F;Oui;MED;F;1;21;33100;Oui;Non;732;QC;14;Oui;Non;20000;4;B;Non;0;1;1;2285
79;2004;40;H;Oui;SNS;M;1;17;19300;Non;Non;749;ML;12;Oui;Non;20000;12;A;Non;0;6;1;674
80;2004;21;F;Non;SNS;A;0;4;9800;Non;Non;660;QC;2;Non;Non;13000;11;G;Non;0;6;1;1494
81;2004;19;H;Non;ETU;A;0;3;34800;Oui;Non;981;ES;1;Non;Non;35000;7;R;Non;0;1;1;2131
82;2004;20;H;Non;ETU;A;0;4;31100;Oui;Non;727;MA;2;Non;Non;27000;10;G;Non;0;4;1;2310
83;2004;31;H;Oui;GOU;F;1;15;36800;Oui;Non;524;SA;11;Non;Non;22000;3;R;Non;0;6;1;1793
84;2004;48;H;Oui;PRO;M;4;32;23800;Non;Non;843;ML;11;Oui;Non;37000;5;N;Non;0;0;1;1084
85;2004;22;H;Non;SNS;F;1;4;49100;Non;Non;740;ML;2;Oui;Non;28000;12;G;Non;0;6;1;1682
86;2004;25;H;Non;PRO;A;0;9;23800;Non;Non;770;MA;5;Non;Non;20000;6;R;Non;0;6;1;1388
87;2004;25;F;Oui;GOU;D;2;9;13600;Oui;Non;758;OU;3;Oui;Non;12000;5;R;Oui;0;6;1;1742
88;2004;16;H;Non;ETU;A;1;0;28200;Oui;Non;753;ES;0;Non;Non;20000;10;R;Non;0;6;1;1792
89;2004;87;F;Oui;RTR;M;1;65;28000;Non;Non;766;MA;61;Oui;Non;44000;7;B;Non;0;6;1;1417
90;2004;52;H;Non;PRO;A;1;36;9300;Oui;Oui;792;GA;23;Oui;Oui;55000;2;N;Oui;0;2;1;9270
91;2004;52;F;Non;RTR;A;1;32;15900;Non;Non;616;ES;22;Oui;Oui;52000;0;R;Oui;0;6;1;6215
92;2004;65;F;Non;RTR;M;0;49;58700;Non;Non;693;OU;44;Non;Non;29000;6;N;Non;0;0;1;1574
93;2004;72;H;Non;RTR;F;1;56;34600;Non;Non;712;ML;44;Non;Non;31000;4;B;Oui;0;6;1;1319
94;2004;32;H;Oui;GOU;D;1;16;31800;Non;Non;575;GA;11;Oui;Non;17000;4;A;Non;0;6;1;1398
95;2004;58;H;Non;RTR;F;0;41;8200;Non;Non;597;MA;28;Oui;Non;28000;3;A;Non;1;6;1;2405
96;2004;46;F;Non;PRO;M;0;30;23900;Oui;Oui;620;ML;19;Oui;Non;39000;6;B;Non;0;6;1;4221
97;2004;52;H;Non;PRO;D;0;35;21500;Non;Oui;683;GA;33;Non;Non;36000;4;N;Non;0;3;1;4422
98;2004;17;H;Non;ETU;A;0;1;7300;Oui;Non;710;QC;0;Non;Non;39000;8;A;Non;0;6;1;3841
99;2004;50;F;Oui;RTR;M;1;34;41200;Non;Non;680;OU;25;Oui;Non;22000;2;G;Oui;0;6;1;2036
100;2004;43;H;Oui;GOU;F;0;27;31000;Non;Non;724;GA;14;Oui;Non;25000;8;N;Non;0;6;1;1200
101;2004;28;F;Non;PRO;D;2;12;26700;Oui;Oui;747;ES;5;Non;Non;17000;8;B;Non;0;6;1;2454
102;2004;36;H;Non;MED;A;1;15;21800;Oui;Non;441;MA;11;Non;Non;13000;2;A;Non;0;6;1;1526
103;2004;31;H;Oui;AUT;F;2;15;16700;Non;Non;645;MA;9;Non;Non;18000;1;G;Non;0;6;1;1413
104;2004;23;H;Non;ETU;A;0;7;30500;Non;Non;622;GA;5;Non;Non;14000;12;R;Non;0;6;1;1169
105;2004;80;F;Non;RTR;M;2;64;11300;Non;Non;541;ES;51;Non;Non;32000;3;R;Non;0;6;1;1600
106;2004;47;H;Oui;MED;M;3;31;24900;Oui;Non;694;ES;21;Oui;Non;15000;12;B;Non;0;3;1;991
107;2004;92;H;Oui;RTR;A;1;76;11000;Non;Non;574;ES;34;Non;Non;24000;0;A;Oui;0;6;1;1719
108;2004;50;H;Non;SNS;M;1;34;47600;Non;Non;647;SA;11;Oui;Non;26000;4;R;Non;0;6;1;1964
109;2004;16;F;Non;ETU;A;0;0;7400;Non;Non;620;ML;0;Non;Non;24000;10;G;Non;0;2;1;1897
110;2004;66;F;Oui;RTR;F;0;50;11900;Non;Non;650;ML;35;Oui;Non;38000;2;N;Oui;0;6;1;2408
111;2004;49;H;Non;SNS;F;0;33;27600;Non;Non;525;ES;28;Oui;Non;20000;11;B;Non;0;4;1;1179
112;2004;58;H;Non;GOU;F;1;40;12600;Oui;Non;637;ES;22;Oui;Non;22000;0;N;Oui;0;1;1;2000
113;2004;45;H;Oui;PRO;A;0;29;22600;Oui;Oui;260;SA;26;Non;Oui;39000;0;R;Non;0;4;1;11126
114;2004;48;H;Non;MED;D;1;31;18800;Oui;Non;591;SA;18;Non;Oui;46000;1;B;Oui;0;6;1;6304
115;2004;33;F;Non;MED;M;1;17;28700;Non;Non;778;ML;12;Oui;Non;42000;12;G;Non;0;6;1;1920
116;2004;38;H;Oui;PRO;F;0;22;32100;Non;Oui;538;MA;16;Oui;Non;22000;1;G;Non;0;6;1;3344
117;2004;20;F;Oui;ETU;A;0;1;10900;Oui;Non;647;ML;0;Non;Non;45000;12;R;Non;0;6;1;3396
118;2004;60;F;Oui;PRO;M;2;44;38900;Oui;Non;542;GA;22;Non;Non;34000;2;B;Oui;0;6;1;3770
119;2004;71;F;Non;RTR;M;3;50;43100;Non;Non;733;ES;40;Oui;Non;21000;1;R;Non;0;6;1;1110
120;2004;26;H;Non;AUT;M;1;10;10400;Oui;Oui;538;SA;6;Oui;Oui;50000;3;G;Oui;0;6;1;17493
121;2004;25;F;Non;MAN;M;0;7;23400;Oui;Non;741;ML;4;Oui;Non;41000;6;N;Non;0;0;1;2659
122;2004;68;F;Oui;RTR;M;0;50;25500;Non;Non;822;ES;42;Oui;Non;19000;3;R;Non;0;6;1;861
123;2004;28;H;Oui;PRO;A;1;12;18600;Oui;Oui;655;ML;6;Non;Non;34000;1;R;Non;0;0;1;3670
124;2004;40;F;Oui;GOU;A;1;24;38700;Oui;Non;909;ML;13;Non;Non;27000;1;G;Non;0;4;1;1193
125;2004;42;H;Non;MAN;F;1;26;29600;Oui;Non;589;ML;18;Oui;Non;24000;10;B;Non;0;0;1;1275
126;2004;55;F;Non;RTR;D;1;39;31700;Non;Non;540;GA;17;Oui;Oui;76000;1;R;Oui;0;6;1;7850
127;2004;29;H;Non;ASS;F;1;13;37600;Oui;Oui;526;ES;11;Non;Non;43000;3;B;Non;0;6;1;6416
128;2004;61;H;Non;PRO;A;1;45;6300;Non;Oui;579;MA;20;Non;Oui;37000;2;R;Oui;0;6;1;8489
129;2004;26;H;Non;GOU;M;1;10;12100;Oui;Non;355;GA;6;Oui;Non;25000;0;N;Oui;1;6;1;4622
130;2004;21;H;Non;ETU;A;0;3;28600;Oui;Non;632;SA;1;Non;Oui;53000;0;R;Non;1;0;1;9127
131;2004;45;F;Non;MAN;D;0;29;50600;Oui;Non;668;ES;13;Oui;Oui;41000;-1;N;Non;0;6;1;5326
132;2004;86;H;Oui;RTR;A;1;70;32800;Non;Non;647;GA;45;Non;Oui;55000;1;G;Oui;0;1;1;4964
133;2004;36;H;Oui;ASS;A;2;20;16200;Oui;Oui;493;SA;18;Non;Non;37000;7;B;Non;0;6;1;6213
134;2004;41;H;Oui;PRO;M;1;16;35100;Oui;Non;631;ML;7;Non;Non;25000;4;R;Non;0;6;1;1265
135;2004;25;H;Non;GOU;M;0;9;40700;Oui;Non;763;MA;5;Non;Non;39000;3;N;Oui;0;6;1;2854
136;2004;46;H;Oui;AUT;A;4;30;11400;Oui;Non;617;ES;19;Non;Non;25000;1;N;Oui;0;6;1;2402
137;2004;66;H;Non;RTR;F;1;50;19600;Non;Non;697;GA;15;Oui;Non;27000;10;N;Non;0;6;1;1589
138;2004;53;H;Oui;PRO;F;1;32;41900;Oui;Oui;717;ML;25;Oui;Non;25000;6;R;Non;0;1;1;1900
139;2004;44;H;Non;GOU;D;0;28;25800;Oui;Non;777;GA;15;Oui;Non;23000;10;A;Non;0;1;1;1152
140;2004;43;F;Oui;PRO;D;0;27;30600;Oui;Oui;639;SA;14;Non;Non;14000;0;B;Non;0;2;1;2700
141;2004;23;F;Non;ETU;F;0;7;6900;Oui;Non;594;ES;4;Oui;Non;32000;9;R;Non;0;6;1;2980
142;2004;38;F;Non;SNS;M;1;22;14600;Non;Non;634;ML;13;Oui;Oui;30000;0;G;Oui;0;6;1;3757
143;2004;32;H;Non;GOU;F;1;13;24400;Non;Non;438;QC;7;Oui;Non;21000;6;R;Non;0;6;1;1762
144;2004;21;H;Non;ETU;A;0;5;33700;Non;Non;747;ML;3;Non;Non;34000;12;R;Non;0;4;1;1925
145;2004;39;H;Non;ETU;F;0;23;9100;Non;Non;778;MA;21;Oui;Non;19000;11;A;Non;0;6;1;955
146;2004;25;H;Non;ASS;F;1;9;28000;Non;Oui;704;ES;5;Oui;Non;13000;3;R;Non;0;6;1;2520
147;2004;51;F;Oui;RTR;D;0;35;29200;Non;Non;700;SA;12;Oui;Non;10000;3;N;Non;0;6;1;1171
148;2004;25;F;Non;MAN;F;1;9;45900;Oui;Non;616;MA;7;Oui;Non;41000;3;B;Oui;0;6;1;7207
149;2004;39;F;Oui;MAN;M;1;22;11200;Oui;Non;526;ES;19;Oui;Non;29000;4;R;Oui;0;6;1;4266
150;2004;19;H;Oui;ETU;F;1;3;10200;Non;Non;762;SA;1;Oui;Non;33000;12;R;Non;0;0;1;3718
151;2004;74;F;Oui;RTR;A;2;56;21900;Non;Non;736;MA;53;Oui;Oui;41000;2;A;Oui;0;6;1;4103
152;2004;52;F;Non;ASS;A;1;36;5500;Oui;Non;641;ML;12;Oui;Oui;43000;0;B;Oui;0;6;1;5306
153;2004;29;H;Oui;ASS;M;1;13;25000;Oui;Oui;596;QC;12;Non;Oui;59000;0;R;Oui;0;0;1;12705
154;2004;80;H;Non;AUT;M;0;64;28500;Oui;Non;687;GA;51;Oui;Non;10000;2;B;Oui;0;1;1;1096
155;2004;35;H;Non;PRO;A;1;19;27600;Non;Oui;783;OU;13;Non;Non;31000;10;B;Non;0;6;1;3029
156;2004;64;H;Non;MAN;F;0;45;18700;Oui;Non;417;GA;27;Oui;Non;27000;4;B;Non;0;1;1;2790
157;2004;85;F;Non;RTR;M;1;64;5300;Non;Non;390;GA;48;Non;Non;45000;3;B;Oui;0;6;1;3242
158;2004;41;F;Oui;AUT;M;0;25;8500;Oui;Oui;741;GA;15;Oui;Non;29000;0;B;Oui;0;6;1;6158
159;2004;39;F;Oui;ASS;F;0;23;30600;Non;Oui;594;ES;13;Oui;Non;19000;9;R;Non;0;6;1;2909
160;2004;19;H;Non;ETU;A;0;0;10300;Oui;Non;651;GA;0;Non;Non;29000;9;G;Non;1;3;1;2928
161;2004;32;F;Oui;ETU;F;0;16;10600;Oui;Non;558;SA;8;Non;Non;12000;9;B;Non;0;6;1;1795
162;2004;60;F;Non;AUT;D;1;44;23000;Non;Non;778;MA;28;Oui;Oui;48000;1;B;Non;0;6;1;4353
163;2004;87;F;Non;RTR;A;1;71;14600;Non;Non;695;ES;71;Oui;Oui;48000;2;R;Non;0;6;1;3142
164;2004;24;H;Non;SNS;M;0;2;38500;Non;Non;813;MA;1;Non;Non;27000;6;B;Non;0;6;1;1690
165;2004;51;H;Non;PRO;F;2;35;21900;Oui;Oui;592;MA;24;Oui;Non;26000;12;A;Non;0;6;1;4165
166;2004;51;F;Non;PRO;M;0;35;57300;Oui;Non;591;ES;24;Oui;Non;30000;11;A;Non;0;4;1;2272
167;2004;31;F;Non;ASS;A;1;11;13400;Oui;Oui;765;GA;9;Non;Non;37000;2;G;Oui;0;6;1;6517
168;2004;16;F;Oui;ETU;F;0;0;8300;Oui;Non;548;ML;0;Oui;Non;10000;10;R;Non;0;0;1;1328
169;2004;34;F;Oui;SNS;F;2;18;24600;Non;Non;705;ML;14;Oui;Non;36000;12;R;Non;0;6;1;2628
170;2004;50;F;Non;MAN;F;0;33;24700;Oui;Non;697;MA;19;Oui;Non;19000;7;N;Non;0;6;1;1416
171;2004;76;F;Non;RTR;F;1;57;6100;Non;Non;728;MA;39;Oui;Non;25000;2;G;Oui;0;6;1;2012
172;2004;28;F;Non;MAN;F;0;12;20800;Oui;Non;479;ML;6;Oui;Oui;57000;0;N;Oui;0;6;1;8043
173;2004;86;F;Non;RTR;M;0;70;17600;Non;Non;712;ML;66;Oui;Non;23000;0;B;Non;0;6;1;747
174;2004;50;F;Oui;RTR;M;1;34;9300;Non;Non;604;ML;25;Oui;Non;25000;1;B;Non;0;6;1;1740
175;2004;39;H;Oui;ASS;A;1;22;26000;Oui;Oui;601;ES;14;Non;Non;19000;1;N;Non;0;6;1;2258
176;2004;71;F;Non;RTR;F;3;54;41500;Non;Non;670;ML;18;Non;Non;33000;7;N;Non;0;6;1;1520
177;2004;35;F;Non;AUT;M;1;11;36600;Oui;Non;755;ML;7;Oui;Non;46000;4;G;Non;0;6;1;2903
178;2004;25;F;Non;ETU;F;1;8;29400;Non;Non;499;QC;4;Oui;Non;38000;11;A;Non;0;6;1;4802
179;2004;37;F;Non;GOU;F;3;20;6200;Oui;Non;660;SA;13;Oui;Non;42000;4;A;Oui;0;0;1;5807
180;2004;29;F;Non;ASS;F;0;13;39300;Non;Non;709;SA;12;Oui;Non;28000;2;N;Non;0;6;1;2948
181;2004;59;F;Oui;ASS;D;1;43;23500;Oui;Non;579;SA;30;Oui;Oui;60000;0;A;Oui;0;6;1;7604
182;2004;38;F;Non;MAN;F;1;22;17100;Non;Non;848;OU;14;Oui;Non;28000;5;R;Non;0;6;1;2148
183;2004;55;F;Non;PRO;D;0;39;13300;Oui;Oui;703;SA;25;Oui;Non;28000;2;A;Oui;0;6;1;5857
184;2004;27;H;Non;PRO;F;0;7;5200;Oui;Oui;908;ES;3;Oui;Non;28000;0;G;Oui;0;6;1;3384
185;2004;29;F;Non;MAN;M;2;7;36000;Oui;Non;596;ML;4;Non;Oui;67000;1;R;Oui;0;6;1;7368
186;2004;54;H;Non;AUT;D;1;38;17100;Oui;Non;668;ML;24;Oui;Oui;54000;1;R;Oui;0;6;1;4506
187;2004;39;H;Oui;MAN;D;1;23;35200;Oui;Non;833;GA;17;Oui;Non;43000;1;G;Oui;0;6;1;3686
188;2004;64;F;Non;MAN;M;1;42;25700;Oui;Non;636;ES;31;Non;Non;14000;2;R;Non;0;2;1;1193
189;2004;82;F;Oui;RTR;A;0;57;7300;Non;Non;536;GA;39;Non;Oui;37000;3;G;Oui;0;6;1;3673
190;2004;19;H;Non;ETU;A;1;3;31200;Oui;Non;835;GA;2;Non;Non;16000;3;N;Oui;0;3;1;1679
191;2004;46;F;Non;SNS;F;0;30;37800;Non;Non;818;ES;19;Oui;Oui;52000;1;N;Oui;0;6;1;6178
192;2004;47;F;Non;MED;M;1;31;27300;Oui;Non;735;QC;18;Non;Non;13000;2;A;Non;0;6;1;1066
193;2004;85;F;Oui;RTR;D;1;69;18400;Non;Non;797;ES;65;Oui;Non;38000;3;N;Oui;0;6;1;1818
194;2004;49;H;Oui;GOU;F;2;33;18700;Oui;Non;724;ML;24;Oui;Non;30000;5;B;Oui;0;5;1;1702
195;2004;20;H;Non;ETU;F;0;4;37200;Non;Non;525;GA;3;Non;Non;10000;1;G;Oui;0;6;1;2442
196;2004;29;F;Oui;GOU;M;1;13;35000;Oui;Non;622;QC;10;Non;Non;34000;4;R;Oui;0;6;1;4041
197;2004;49;F;Non;MED;F;2;27;15500;Oui;Non;675;MA;17;Oui;Non;37000;3;G;Oui;0;2;1;5311
198;2004;21;F;Non;SNS;M;0;0;26100;Non;Non;483;QC;0;Oui;Non;20000;12;N;Non;0;6;1;2721
199;2004;51;H;No;MAN;A;2;35;10500;Oui;Non;542;SA;22;Oui;Oui;69000;1;R;Oui;0;5;1;8436
200;2004;81;F;Non;RTR;F;0;65;43800;Non;Non;596;ML;45;Non;Non;25000;2;N;Non;0;6;1;1188
201;2004;25;F;Non;MAN;A;1;8;53200;Oui;Non;741;ML;6;Non;Oui;51000;1;R;Oui;0;0;1;5902
202;2004;16;F;Non;ETU;A;0;0;7600;Oui;Non;814;SA;0;Non;Non;34000;5;R;Oui;0;6;1;3658
203;2004;43;H;Oui;PRO;M;1;27;32800;Oui;Non;686;ML;20;Non;Non;26000;10;R;Non;0;6;1;969
204;2004;91;F;Oui;RTR;D;0;75;8400;Non;Non;923;QC;37;Oui;Oui;52000;0;G;Oui;0;6;1;2275
205;2004;17;F;Non;ETU;F;0;1;11500;Oui;Non;679;GA;0;Oui;Non;20000;11;B;Non;0;6;1;2028
206;2004;23;F;Non;ETU;F;0;7;9900;Non;Non;561;GA;4;Oui;Non;32000;11;G;Non;0;6;1;3376
207;2004;18;F;Non;ETU;F;0;2;9300;Oui;Non;997;GA;1;Oui;Non;37000;6;R;Non;0;3;1;2453
208;2004;45;F;Oui;PRO;M;0;29;16300;Oui;Oui;810;MA;24;Oui;Non;31000;1;R;Oui;0;6;1;4432
